id,abstract_number,udc,language,country,abstract,real_id,content,comment,pages,bic,mac,ilc,tbc,source_name,volume,issue,key_words,authors,generation_date,publication_date,type,verified,create_time,verification_time,deponire_number,deponire_date,deponire_place,patent_number,appeletion_date,priore_date,patent_publication_date,patent_place,ipc,issn,isbn,rubrics,subjects
210,13.05-01В.263ДЕП,,русский,Россия,"Основные принципы теории потенциальной помехоустойчивости были сформулированы в 1946 г. академиком В. А.  Котельниковым. Теория помехоустойчивости В. А. Котельникова предполагает знание всех параметров принимаемых сигналов. Клодом Шенноном была предложена оптимизация по видам сигналов и методам кодирования. В случае неполноты априорных сведений о параметрах принимаемых сигналов невозможно построить устройства, оптимальные по Котельникову и Шеннону. Такая ситуация возникает, например, при приеме и обработке сигналов устройствами контроля за радиоизлучениями. В таких условиях может быть реализован только широкополосный неоптимальный некогерентный прием, при котором возможна оптимизация только по огибающей сигнала, однако, при требовании сохранения формы сигнала такая оптимизация невозможна. Типовой линейный приемник устройств контроля за радиоизлучениями работающих в условиях неполноты априорной информации, содержит набор фильтров, амплитудных детекторов (АД) и схему принятия решений (СПР). Задачей СПР является принятие решений о том, в каком из каналов присутствует сигнал. В случае неполной априорной информации о частотах сигналов, моментах начала и окончания элементов сигнала, при изменении ожидаемой длительности элементов сигнала в широких пределах (10<sup>3</sup> и более), повышение эффективности линейных алгоритмов приема сигналов практически невозможно. Выполнены расчет и анализ потенциальной помехоустойчивости разработанного алгоритма оптимизации путем машинного моделирования на ЭВМ с использованием пакета LABVIEW. Предложенный метод позволяет значительно повысить помехоустойчивость широкополосного приема без применения фильтрации по низкой частоте, предполагающей знание длительности элементов сигнала",2013-05 AB22 БД ВИНИТИ,,,24,6,,,,"ТИ ЮФУ. Таганрог. 2012, 24 с., ил.. Библ. 6. Рус.. Деп. в ВИНИТИ РАН 09.07.2012, N 296-В2012",,,"{ПО,помехоустойчивость}","{""Кравченко Д А"",""Плаксиенко В С""}",2013-05-01,,8,f,2018-11-17 10:47:07.069682,,296-В2012,2012-07-09,ТИ ЮФУ. Таганрог,,,,,,,,,"{50.41.25,502.41.25.11}","{""Автоматика и радиотехника""}"
1122,05.07-81.216ДЕП,,русский,Россия,"Преимущество оптической обработки данных перед цифровыми и другими аналоговыми методами обусловлено способностью оптических систем осуществлять параллельную обработку двумерных данных. Когерентно-оптические корреляционные схемы, построенные по принципу фильтрации, в задаче обнаружения малоразмерных объектов обладают высокой обнаружительной способностью и помехоустойчивостью. Однако корреляционные алгоритмы обнаружения чувствительны к различного рода декоррелирующим факторам, среди которых необходимо выделить геометрические искажения, различные виды изменчивости входных изображений и отличие реальной фоновой обстановки от ее статистических моделей, используемых при обосновании оптимальности корреляционных алгоритмов. В настоящее время влияние ракурсных и масштабных искажений на качество обнаружения хорошо исследовано. Вопросы влияния характеристик фона на достоверность обнаружения по корреляционному методу исследованы в меньшей степени. В настоящее время разрабатывается ряд новых направлений развития когерентно-оптических систем обнаружения и распознавания, нацеленных на решение проблем изменчивости изображений при сохранении преимуществ оптических методов обработки информации. В техн. справке приведен краткий обзор некоторых перспективных оптико-цифровых методов, использующих аппарат статистической теории распознавания (признаковых пространств), и необходимых для их реализации методов оптической предобработки изображений. В депонируемой рукописи показано, что оценка достоверности обнаружения и локализации объекта по отношению сигнал/шум для старшего максимума корреляционного поля становится некорректной при с/ш≤7÷8 ввиду высокой вероятности аномальных ошибок ложного обнаружения. Приведены соотношения для количественной оценки вероятности аномальных ошибок на основе априорных сведений об статистических свойствах реальных оптических сюжетов",2005-07 AB06 БД ВИНИТИ,,,10,23,,,,"Гос. НИИ авиац. систем. М.. 2003, 10 с.. Библ. 23. Рус.. Деп. в ВИНИТИ 23.12.2003, N 2234-В2003",,,"{""обработка изображений"",""Распознавание образов""}","{""Обносов Б В""}",2005-07-01,,8,f,2018-11-17 10:47:14.009204,,2234-В2003,2003-12-23,Гос. НИИ авиац. систем. М.,,,,,,,,,"{28.23.15,282.23.15.09}","{""Автоматика и радиотехника"",""Вычислительные науки""}"
1520,04.09-01А.209ДЕП,,русский,Россия,"Излагаются теор. основы логико-вероятностного подхода к определению уровня допустимости информационных рисков автоматизированной системы, описывается методика формализации характеристик угроз и уязвимостей информации для выявления их наиболее вероятных сочетаний в системе. Данная работа рассчитана на ученых и специалистов, интересующихся проблемами управления информационной безопасностью в автоматизированных системах",2004-09 AB01 БД ВИНИТИ,,,24,8,,,,"Петербург. гос. ун-т путей сообщ.. СПб. 2003, 24 с., ил.. Библ. 8. Рус.. Деп. в ВИНИТИ 27.11.2003, N 2061-В2003",,,"{""автоматизированные системы"",""Информационная безопасность""}","{""Корниенко А А"",""Котенко А Г"",""Яковлев В В""}",2004-09-01,,8,f,2018-11-17 10:47:17.848499,,2061-В2003,2003-11-27,Петербург. гос. ун-т путей сообщ.. СПб,,,,,,,,,"{50.09.45,501.09.45.11}","{""Автоматика и радиотехника""}"
1605,04.08-04В7.31ДЕП,,русский,Россия,"По литературным источникам хронологически приведены и систематизированы причины, вызывающие ускоренное отмирание дуба на всем ареале его существования. Также уделено внимание существующим гипотезам и теориям, объясняющим этот процесс. Имеющаяся информация и собственное исследование авторов позволяет сделать вывод, что первопричина ослабления дубравных биогеоценозов должна быть универсальна и специфична одновременно. Дано объяснение этих позиций. Названа причина критического периодически меняющегося состояния дубрав. Сложность рассматриваемого явления требует от исследователей дальнейших изысканий и поисков в данном вопросе",2004-08 BI06 БД ВИНИТИ,,,13,56,,,,"Воронеж. гос. лесотехн. акад. Воронеж. 2001, 13 с.. Библ. 56 назв. Рус.. Деп. в ВИНИТИ 31.10.01, N 2296-В2001",,,"{""деградация лесов"",""Дуб черешчатый"",причины}","{""Гарнага В.В"",""Царалунга В.В.В""}",2004-08-01,,8,f,2018-11-17 10:47:18.552384,,2296-В2001,0001-10-31,Воронеж. гос. лесотехн. акад. Воронеж,,,,,,,,,"{68.47.03,681.47.03.07.02}",{Биология}
1758,04.07-67А.109ДЕП,,русский,Россия,"Вопросы, касающиеся качества товаров и услуг, деятельности и процессов, возникли уже давно. Но с течением времени в результате развития рынка и общества подходы к решению этих проблем меняются, появляются новые методы и концепции. Сейчас проблема управления качеством очень актуальна и стоит довольно остро. Широкое развитие компьютерной техники, Интернета привело к развитию новых торговых взаимоотношений и способу размещения рекламной информации - через всемирную сеть Интернет. Возникает задача исследования и приспособления инструментов качества и привязки методик решения проблем к электронной среде. Будет развиваться направление объединения управления качеством с традиционными процедурами управления деятельностью и бизнесом. Этому может помочь развитие объединенных систем управления. Часто в управлении качеством критерии качества работы имеют и количественный и качественный характер, следовательно, необходимо использовать объединение субъективных суждений с числовыми данными. Общие теоретические модели позволяют обратиться к вероятностной информации (математическая теория вероятности и теория выборок). Встает проблема приспособления этих методологий к развивающимся моделям управления качеством. При исследовании проблем управления качеством необходимо учитывать условия, в которых работает предприятие, достижения современных наук, принципы системности и процессного подхода, опыт передовых предприятий, анализ деятельности в целом, а не отдельных аспектов обеспечения качества продукции. Теория и практика управления качеством имеет большой потенциал развития и требует особого гибкого подхода, позволяющего быстро приспосабливать созданную систему качества к изменяющимся внешним и внутренним условиям",2004-07 EK07 БД ВИНИТИ,,,4,,,,,"Чуваш. гос. ун-т. Чебоксары. 2004, 4 с.. Рус.. Деп. в ВИНИТИ 08.01.2004, N 23-В2004",,,"{""методы управления"",Россия,""системы управления"",""управление качеством"",""Управление предприятиями""}","{""Григорьева О Л""}",2004-07-01,,8,f,2018-11-17 10:47:19.798941,,23-В2004,2004-01-08,Чуваш. гос. ун-т. Чебоксары,,,,,,,,,"{82.15.05,821.15.05.05.09}","{""Экономика промышленности""}"
2013,03.08-29А.84ДЕП,,русский,Россия,"Статья посвящена анализу проблем, возникающих при теоретическом анализе систем радиосвязи, информационный поток в которых является разнородным (аналоговая телефония, данные, нагрузки Интернет и т. д.). Показаны трудности, возникающие при традиционном подходе к анализу прохождения информации, и излагается методика, позволяющая эти трудности обойти и повысить точность получаемых результатов. Показывается адекватность этой методики на примере классических моделей теории массового обслуживания и на примере системы массового обслуживания с произвольным потоком. Сравниваются результаты расчета и имитационного моделирования",2003-08 AB15 БД ВИНИТИ,,,36-42,,,,,"Техника звукового вещания и оповещения. Моск. техн. ун-т связи и информат.. М.. 2001, с. 36-42. Рус.. Деп. в ЦНТИ ""Информсвязь"" 22.05.2001, N 2200-св2001",,,"{""неэкспоненциальный поток вызовов"",""Системы массового обслуживания""}","{""Богданов А В""}",2003-08-01,,3,f,2018-11-17 10:47:22.022993,,2200-св2001,2001-05-22,Техника звукового вещания и оповещения. Моск. техн. ун-т связи и информат.. М.,,,,,,,,,"{49.03.09,493.03.09.03}","{""Автоматика и радиотехника""}"
2174,03.08-20Е.24ДЕП,,русский,Россия,"Монография в рамках постнеклассической науки дает представление об эволюции ноосферы с позиций фундаментальных понятий: информация, взаимодействие, управление. Сформулированы законы развития (непрерывность, усложнение, борьба с неустойчивостью). Исследована взаимосвязь понятий информация, энтропия, флуктуации, порядок, хаос, квант. Показано, что управление, как природный феномен, сформировалось в сложных по структуре объекта в ходе эволюции Мира. Подчеркивается доминирующая роль цепных процессов в эволюции, являющихся главным механизмом направленного развития. Цепи взаимодействий, охвачены необратным связями, запускают коэволюцию косных форм материи и тупики развития исполняют роль депо для будущих эволюций. В монографии разрешаются многие дискуссионные вопросы ноосферогенеза (проблемы эволюционных переходов жизнь - нежизнь, инстинкт - разум, человек - животное и т. п.). Монография может быть использована как междисциплинарное учебное пособие для студентов -слушателей курсов: системный анализ, теория систем, философия, естествознание, управление, менеджмент",2003-08 EK11 БД ВИНИТИ,,,325,300,,,,"Ессентук. ин-т упр.. бизнеса и права. Ессентуки. 2002, 325 с., ил.. Библ. 300. Рус.. Деп. в ВИНИТИ 22.11.2002, N 2016-В2002",,,"{""законы развития"",Наука,ноосфера,Россия,сенергетика,теории}","{""Крайнюченко И В"",""Попов В П""}",2003-08-01,,8,f,2018-11-17 10:47:23.307556,,2016-В2002,2002-11-22,Ессентук. ин-т упр.. бизнеса и права. Ессентуки,,,,,,,,,"{26.21.51,261.21.51}","{""Экономика промышленности""}"
2367,03.05-15Г.189ДЕП,,русский,Россия,"Синтезирован алгоритм системы оптимального управления процессом выщелачивания Zn-огарков, функционирующий в условиях неполной информации об объекте управления. С учетом некоторых особенностей процесса, отражающих характер его протекания, характер возмущающих воздействий, а также характер получаемой в ходе процесса информации, данная задача решалась методами теории дуального управления. Определена оптимальная стратегия, структура и правила решения управляющего устройства, определяющего оптимальное управляющее воздействие и использующее для управления переменные, статистически связанные с выходным сигналом",2003-05 MT08 БД ВИНИТИ,,,11,5,,,,"Сев.-Кавказ. гос. технол. ун-т. Владикавказ. 2002, 11 с.. Библ. 5. Рус.. Деп. в ВИНИТИ 29.11.2002, N 2073-В2002",,,"{автоматизация,выщелачивание,огарки,Россия,Цинк}","{""Дюнова Д Н"",""Чурсалова С С""}",2003-05-01,,8,f,2018-11-17 10:47:25.067853,,2073-В2002,2002-11-29,Сев.-Кавказ. гос. технол. ун-т. Владикавказ,,,,,,,,,"{53.37.31,531.37.31.27.18}",{Металлургия}
2452,02.02-29Б.92ДЕП,,русский,Россия,"В асинхронных адресных системах связи (ААСС) возникает проблема ограничения числа активных абонентов внутрисистемными шумами. В качестве адреса в таких системах могут быть использованы шумоподобные сигналы (ШПС). ШПС каждого абонента имеют свои особенные и неповторимые адресные свойства и приемник может разделять информацию поступающую от разных абонентов. В результате абоненты могут одновременно передавать информацию и работать в одной полосе частот. Примером ААСС может служить обратный канал связи для стандарта IS-95. В качестве ШПС с этом стандарте используют М-последовательность. Макс. скорость передачи информации в стандарте 9.600 кбит/с, а ширина спектра сигнала составляет 1.2288 МГц. В результате макс. число активных абонентов составляет 13 чел. Рассматривается идея увеличения числа активных абонентов, не прибегая к увеличению ширины частотного спектра сигнала. Проведенные теор. исследования отображены в таблицах, а так же наглядно представлены графически",2002-02 AB14 БД ВИНИТИ,,,26-33,,,,,"Системы радиосвязи. Моск. техн. ун-т связи и информат.. М.. 2001, с. 26-33. Рус.. Деп. в ЦНТИ Информсвязь 22.05.2001, N 2198-св2001",,,"{""асинхронные адресные системы"",""использование радиоспектра"",""кодовое разделение каналов"",""многостанционный доступ"",Радиосвязь,""увеличение числа абонентов"",""шумоподобные сигналы""}","{""Гайдук И К"",""Сухорукова И Ю""}",2002-02-01,,3,f,2018-11-17 10:47:25.710161,,2198-св2001,2001-05-22,Системы радиосвязи. Моск. техн. ун-т связи и информат.. М.,,,,,,,,,"{49.43.29,493.43.29.41}","{""Автоматика и радиотехника""}"
2607,02.05-52.0170ДЕП,,русский,Россия,"Рассматривается задача однопозиционного гирокомпасирования. Она заключается в определении углового положения твердого тела (в конкретном случае - гироскопического инклинометра) относительно заданной базовой системы координат по информации о двух векторах: ускорения силы тяжести и угловой скорости вращения Земли. В отличие от классического решения, основанного на использовании углов Эйлера-Крылова, в настоящей работе в основу построения соответствующих алгоритмов положена одна из фундаментальных теорем теории кватернионов о возможности поставить в соответствие двум неколлинеарным векторам кватернион конечного поворота одного вектора до совпадения с другим.",2002-05 AC02 БД ВИНИТИ,,,5,3,,,,"Юж.-Урал. гос. ун-т. Челябинск. 2001, 5 с.. Библ. 3. Рус.. Деп. в ВИНИТИ 19.10.2001, N 2188-В2001",,,"{""гироскопические инклинометры"",Инклинометры,""параметры скважины"",""применение кватернионов. Депоненты""}","{""Бодунов С Б"",""Гинзбург Р Е"",""Лысов А Н""}",2002-05-01,,8,f,2018-11-17 10:47:26.983781,,2188-В2001,2001-10-19,Юж.-Урал. гос. ун-т. Челябинск,,,,,,,,,"{36.23.31,361.23.31.15.19}",{Астрономия}
